comunidadesAutonomas,camionesYfurgonetas,autobuses,turismos,motocicletas,tractoresIndustriales,remolquesYsemirremolques,otrosVehiculos,total,anyo
Illes Ballears,11332,246,54483,7443,318,408,478,74708,2012
Canarias,25791,311,76695,9567,307,779,1503,114953,2012
Cantabria,4674,59,20159,2416,286,426,425,28445,2012
Castilla La Mancha,23654,196,97111,8940,1639,2279,2773,136592,2012
Castilla y Leon,35509,486,124625,7957,1964,2270,2365,175176,2012
Catalunya,85226,567,356742,50593,3025,5164,6057,507374,2012
Extremadura,47415,230,198211,23962,3873,3824,2483,279998,2012
Galicia,12076,110,40294,3803,601,911,1164,58959,2012
Madrid,24399,247,110985,11152,1628,1980,2982,153373,2012
Murcia,85100,1070,377012,25990,8213,2484,4692,504561,2012
Navarra,16488,226,61656,6704,1751,2071,888,89784,2012
La Rioja,8669,55,30107,2679,455,636,740,43341,2012
Comunidad Valenciana,17801,353,80859,10023,958,1101,1781,112876,2012
Pais Vasco,4385,14,13408,1167,117,187,372,19650,2012
Ceuta y Melilla,2405,11,9468,1193,18,17,96,13208,2012
TOTAL GENERAL,509907,4789,2049847,225438,30547,33639,37555,2891722,2012
Andalucia,83733,698,314109,46227,4258,5555,6625,461205,2013
Aragon,14939,380,51691,6223,1091,3399,1488,79211,2013
Asturias,10274,191,45889,5170,602,839,1082,64047,2013
Illes Ballears,12061,222,56413,8414,264,354,477,78205,2013
Canarias,25671,176,78616,10602,336,874,1537,117812,2013
Cantabria,5007,71,21884,2720,374,446,570,31072,2013
Castilla La Mancha,25491,229,100462,9804,1635,2496,2969,143086,2013
Castilla y Leon,39751,559,149339,9152,2273,2287,2832,206193,2013
Catalunya,82691,539,359403,57293,3305,5408,6349,514988,2013
Extremadura,48062,366,202279,26676,4284,4655,2738,289060,2013
Galicia,12957,118,40973,4292,575,949,1395,61259,2013
Madrid,25714,345,116647,12071,1719,2285,2937,161718,2013
Murcia,76129,1267,359681,28657,7040,2494,7991,483259,2013
Navarra,17911,266,65856,7809,1947,2205,956,96950,2013
La Rioja,9475,75,33286,3331,472,703,866,48208,2013
Comunidad Valenciana,18697,403,84502,10835,890,1247,1977,118551,2013
Pais Vasco,4465,20,13008,1334,149,236,378,19590,2013
Ceuta y Melilla,2638,0,9269,1258,2,24,103,13294,2013
TOTAL GENERAL,515666,5925,2103307,251868,31216,36456,43270,2987708,2013
Andalucia,82039,574,327739,49778,4420,5582,6740,476872,2014
Aragon,14869,31,55404,6866,1092,3245,1494,83001,2014
Asturias,10622,156,49037,5722,740,812,1083,68172,2014
Illes Ballears,9765,261,47186,8384,208,363,385,66552,2014
Canarias,26741,230,87464,11345,314,825,1663,128582,2014
Cantabria,4941,39,23898,3010,404,436,466,33194,2014
Castilla La Mancha,25765,195,106180,10813,1879,2509,3068,150409,2014
Castilla y Leon,41891,521,164238,10192,2435,2434,2873,224584,2014
Catalunya,83134,544,384731,63549,3056,5691,5939,546644,2014
Extremadura,47819,492,210606,29730,4111,4470,2618,299846,2014
Galicia,12847,116,42645,4635,584,1003,1334,63164,2014
Madrid,26306,347,123331,13215,1897,2485,3327,170908,2014
Murcia,70116,1334,354612,31808,7120,2404,3722,471116,2014
Navarra,17358,203,69784,8740,1868,2474,1063,101490,2014
La Rioja,9487,60,34342,3772,403,715,884,49663,2014
Comunidad Valenciana,19034,551,90445,12429,663,1229,2072,126423,2014
Pais Vasco,4291,10,13956,1500,180,234,375,20546,2014
Ceuta y Melilla,3004,1,9769,1524,7,20,101,14426,2014
TOTAL GENERAL,510029,5665,2195367,277012,31381,36931,39207,3095592,2014
Andalucia,82322,778,333355,53595,4866,6418,6815,488149,2015
Aragon,14403,62,56088,7223,1331,3621,1347,84075,2015
Asturias,10198,217,49486,6019,676,808,1094,68498,2015
Illes Ballears,10997,247,55391,9621,301,370,392,77319,2015
Canarias,26870,237,94936,12416,357,915,1951,137682,2015
Cantabria,4734,67,23277,3270,406,430,510,32694,2015
Castilla La Mancha,24970,213,101757,11323,1825,2490,2617,145195,2015
Castilla y Leon,41904,432,173444,10366,2386,2289,2113,232934,2015
Catalunya,84400,722,396878,68539,3001,5639,5589,564768,2015
Extremadura,45694,533,212632,31482,4430,4781,2484,302036,2015
Galicia,12587,173,42638,4855,622,1031,1360,63266,2015
Madrid,25628,331,120183,14468,1828,2386,2787,167611,2015
Murcia,80307,1335,400584,34430,8163,2416,4050,531285,2015
Navarra,17313,303,70591,9398,2021,2651,970,103247,2015
La Rioja,8793,76,32053,3801,431,674,804,46632,2015
Comunidad Valenciana,17908,524,87561,12947,785,1368,2087,123180,2015
Pais Vasco,3988,16,13173,1567,149,201,269,19363,2015
Ceuta y Melilla,3301,1,10440,1581,5,16,109,15453,2015
TOTAL GENERAL,516317,6267,2274467,296901,33583,38504,37348,3203387,2015
Andalucia,86632,804,370718,57504,5273,6308,6790,534029,2016
Aragon,15007,45,59268,7777,1275,3584,1361,88317,2016
Asturias,10499,239,53541,6002,694,854,1110,72939,2016
Illes Ballears,12452,220,61911,10664,228,322,746,86543,2016
Canarias,29507,251,103358,13814,418,895,2017,150260,2016
Cantabria,4858,67,25051,3330,347,488,471,34612,2016
Castilla La Mancha,25917,220,110337,12090,1866,2590,2809,155829,2016
Castilla y Leon,40816,575,205670,11516,2656,2517,2232,265982,2016
Catalunya,87167,505,424845,71687,3430,5703,5654,598991,2016
